name,outlet,twitter
Andrew Greene,ABC,andrewbgreene
Anna Henderson,ABC,annajhenderson
Eliza Borello,ABC,ElizaBorrello
Francis Keany,ABC,redneckninja
Jane Norman,ABC,janeenorman
Julie Doyle,ABC,JDoyle73
Lucy Barbour,ABC,lucybarbour
Matthew Doran,ABC,MattDoran91
Naomi Woodley,ABC,naomiwoodley
Stephanie Anderson,ABC,stephanieando
Susan McDonald,ABC,McDonaldSusan
Tom Iggulden,ABC,tomiggulden
Bevan Shields,Fairfax,BevanShields
David Wroe,Fairfax,davidwroe
Fergus Hunter,Fairfax,fergushunter
Gareth Hutchens,Fairfax,grhutchens
Heath Aston,Fairfax,HeathJAston
James Massola,Fairfax,jamesmassola
Jane Lee,Fairfax,janesylee
Judith Ireland,Fairfax,CanberraCamper
Lisa Cox,Fairfax,_LisaMCox
Mark Kenny,Fairfax,markgkenny
Matthew Knott,Fairfax,KnottMatthew
Nicole Hasham,Fairfax,nicole_hasham
Peter Martin,Fairfax,1petermartin
Stephanie Peatling,Fairfax,srpeatling
Fleur Anderson,Financial Review,fleur_anderson
Jacob Greber,Financial Review,jacobgreber
Laura Tingle,Financial Review,latingle
Phillip Coorey,Financial Review,PhillipCoorey
Primrose Riordan,Financial Review,primroseriordan
Brendan Nicholson,The Australian,
David Crowe,The Australian,CroweDM
David Uren,The Australian,
Dennis Shanahan,The Australian,
Jared Owens,The Australian,jaredowens
Joe Kelly,The Australian,
Phillip Hudson,The Australian,PhillipMHudson
Rosie Lewis,The Australian,rosieslewis
Sarah Martin,The Australian,msmarto
Sid Maher,The Australian,sidmaher
Stefanie Balogh,The Australian,stefaniebalogh
Daniel Hurst,The Guardian,danielhurstbne
Gabrielle Chan,The Guardian,gabriellechan
Katharine Murphy,The Guardian,murpharoo
Lenore Taylor,The Guardian,lenoretaylor
Shalailah Medhora,The Guardian,shalailah